2020_Dec,383396850,17869.29399056569,4742.273953906988
2020_Aug,387243230,28980.41061014137,8151.69475773533
2020_Mar,392161225,21765.957777430307,5609.649200928318
2021_Feb,351974498,24451.118098970823,6752.349462195616
2019_Sep,380951288,18758.62999760618,5043.274704614155
2020_Oct,393810704,21462.938867546705,5800.395520774127
2019_Apr,372300401,23496.595152305843,6468.180137774827
2020_Jan,388541205,19025.618004379678,5123.347550914289
2019_Mar,384280467,20859.513895988446,5156.692114142523
2020_Apr,376458842,45212.68807690193,12905.937100393803
2020_Feb,369898344,19059.548538242183,4907.497437309438
2020_Jun,387703007,21754.163037735994,5498.463164306768
2020_Jul,384886010,20281.560742758287,5398.37168920853
2019_Feb,343871403,19210.308378072234,5254.523805296358
2019_Nov,381807080,22910.89756778007,6326.999379963206
2021_Jan,385297274,16983.021245806798,4479.066617614896
2019_May,396591409,28420.596258221045,7194.840805780598
2019_Jan,379795584,17556.983703251917,4714.74505588491
2019_Aug,397483265,22144.41841726718,5685.2002349521945
2019_Dec,387263434,22216.89475247839,5857.202060901304
2019_Jun,366514043,21664.710748791385,5971.800743335239
2020_May,391684887,21240.45025085246,5541.8696712894725
2021_Mar,390761666,19037.312085209596,5041.588763046997
2020_Nov,373182968,20269.558741151825,5353.412502727335
2020_Sep,376415861,18472.55876045935,5042.479646187894
2019_Jul,387926913,19059.023776612037,4863.871465512316
2019_Oct,390925373,23231.49034203339,5965.6332305499955
